,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,712765000.0,506246000.0,490878000.0,487331000.0
Ordinary Shares Number,2407078000.0,2613597000.0,2628965000.0,2632512000.0
Share Issued,3119843000.0,3119843000.0,3119843000.0,3119843000.0
Net Debt,7473000000.0,26753000000.0,19264000000.0,21281000000.0
Total Debt,29332000000.0,39642000000.0,33751000000.0,35266000000.0
Tangible Book Value,-1959000000.0,2268000000.0,-7615000000.0,-26517000000.0
Invested Capital,98106000000.0,116446000000.0,107774000000.0,98544000000.0
Working Capital,7213000000.0,-508000000.0,15753000000.0,8744000000.0
Net Tangible Assets,-1959000000.0,2268000000.0,-7615000000.0,-26517000000.0
Common Stock Equity,68774000000.0,76804000000.0,74023000000.0,63278000000.0
Total Capitalization,94655000000.0,103690000000.0,104008000000.0,95913000000.0
Total Equity Gross Minority Interest,68774000000.0,76804000000.0,74023000000.0,63278000000.0
Stockholders Equity,68774000000.0,76804000000.0,74023000000.0,63278000000.0
Gains Losses Not Affecting Retained Earnings,-12527000000.0,-12967000000.0,-13058000000.0,-15242000000.0
Other Equity Adjustments,-12527000000.0,-12967000000.0,-13058000000.0,-15242000000.0
Treasury Stock,75662000000.0,41694000000.0,39099000000.0,38490000000.0
Retained Earnings,153843000000.0,128345000000.0,123060000000.0,113890000000.0
Capital Stock,3120000000.0,3120000000.0,3120000000.0,3120000000.0
Common Stock,3120000000.0,3120000000.0,3120000000.0,3120000000.0
Preferred Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,98784000000.0,110574000000.0,107995000000.0,111616000000.0
Total Non Current Liabilities Net Minority Interest,52502000000.0,54772000000.0,62769000000.0,69123000000.0
Other Non Current Liabilities,13398000000.0,10146000000.0,10686000000.0,11944000000.0
Liabilities Heldfor Sale Non Current,0.0,2901000000.0,,
Employee Benefits,7149000000.0,6542000000.0,8898000000.0,10771000000.0
Tradeand Other Payables Non Current,2881000000.0,4306000000.0,5713000000.0,6559000000.0
Non Current Deferred Liabilities,3193000000.0,3991000000.0,7487000000.0,7214000000.0
Non Current Deferred Taxes Liabilities,3193000000.0,3991000000.0,7487000000.0,7214000000.0
Long Term Debt And Capital Lease Obligation,25881000000.0,26886000000.0,29985000000.0,32635000000.0
Long Term Debt,25881000000.0,26886000000.0,29985000000.0,32635000000.0
Current Liabilities,46282000000.0,55802000000.0,45226000000.0,42493000000.0
Other Current Liabilities,,3590000000.0,,
Current Debt And Capital Lease Obligation,3451000000.0,12756000000.0,3766000000.0,2631000000.0
Current Debt,3451000000.0,12756000000.0,3766000000.0,2631000000.0
Pensionand Other Post Retirement Benefit Plans Current,3993000000.0,3049000000.0,3586000000.0,3484000000.0
Payables And Accrued Expenses,38838000000.0,36407000000.0,37874000000.0,36378000000.0
Current Accrued Expenses,26213000000.0,24298000000.0,25707000000.0,25481000000.0
Payables,12625000000.0,12109000000.0,12167000000.0,10897000000.0
Total Tax Payable,2993000000.0,2220000000.0,1112000000.0,1392000000.0
Income Tax Payable,2993000000.0,2220000000.0,1112000000.0,1392000000.0
Accounts Payable,9632000000.0,9889000000.0,11055000000.0,9505000000.0
Total Assets,167558000000.0,187378000000.0,182018000000.0,174894000000.0
Total Non Current Assets,114063000000.0,132084000000.0,121039000000.0,123657000000.0
Other Non Current Assets,14153000000.0,30619000000.0,10216000000.0,6562000000.0
Non Current Deferred Assets,9279000000.0,8947000000.0,10223000000.0,8534000000.0
Non Current Deferred Taxes Assets,9279000000.0,8947000000.0,10223000000.0,8534000000.0
Goodwill And Other Intangible Assets,70733000000.0,74536000000.0,81638000000.0,89795000000.0
Other Intangible Assets,34175000000.0,38489000000.0,46392000000.0,53402000000.0
Goodwill,36558000000.0,36047000000.0,35246000000.0,36393000000.0
Net PPE,19898000000.0,17982000000.0,18962000000.0,18766000000.0
Accumulated Depreciation,-27878000000.0,-25552000000.0,-28717000000.0,-28038000000.0
Gross PPE,47776000000.0,43534000000.0,47679000000.0,46804000000.0
Construction In Progress,5627000000.0,4677000000.0,4139000000.0,4316000000.0
Machinery Furniture Equipment,28979000000.0,26603000000.0,29774000000.0,29104000000.0
Buildings And Improvements,12375000000.0,11470000000.0,12882000000.0,12502000000.0
Land And Improvements,795000000.0,784000000.0,884000000.0,882000000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,53495000000.0,55294000000.0,60979000000.0,51237000000.0
Other Current Assets,,,3701000000.0,3132000000.0
Assets Held For Sale Current,0.0,5830000000.0,,0.0
Prepaid Assets,,,3701000000.0,3132000000.0
Inventory,11181000000.0,10268000000.0,10387000000.0,9344000000.0
Finished Goods,6874000000.0,6972000000.0,6508000000.0,5894000000.0
Work In Process,1952000000.0,1577000000.0,2287000000.0,2040000000.0
Raw Materials,2355000000.0,1719000000.0,1592000000.0,1410000000.0
Receivables,19387000000.0,16915000000.0,18984000000.0,13576000000.0
Other Receivables,4514000000.0,2876000000.0,3701000000.0,
Accounts Receivable,14873000000.0,14039000000.0,15283000000.0,13576000000.0
Allowance For Doubtful Accounts Receivable,-166000000.0,-169000000.0,-230000000.0,-293000000.0
Gross Accounts Receivable,15039000000.0,14208000000.0,15513000000.0,13869000000.0
Cash Cash Equivalents And Short Term Investments,22927000000.0,22281000000.0,31608000000.0,25185000000.0
Other Short Term Investments,1068000000.0,9392000000.0,17121000000.0,11200000000.0
Cash And Cash Equivalents,21859000000.0,12889000000.0,14487000000.0,13985000000.0
Cash Equivalents,18519000000.0,9198000000.0,,
Cash Financial,3340000000.0,3691000000.0,,
