,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,17778000000.0,17185000000.0,19758000000.0,20189000000.0
Repurchase Of Capital Stock,-5054000000.0,-6035000000.0,-3456000000.0,-3221000000.0
Repayment Of Debt,-24524000000.0,-8684000000.0,-2992000000.0,-3727000000.0
Issuance Of Debt,21790000000.0,16136000000.0,2002000000.0,10822000000.0
Issuance Of Capital Stock,4241000000.0,0.0,0.0,
Capital Expenditure,-5013000000.0,-4009000000.0,-3652000000.0,-3347000000.0
Interest Paid Supplemental Data,1836000000.0,982000000.0,990000000.0,904000000.0
Income Tax Paid Supplemental Data,8574000000.0,5223000000.0,4768000000.0,4619000000.0
End Cash Position,21859000000.0,14127000000.0,14487000000.0,13985000000.0
Beginning Cash Position,14127000000.0,14487000000.0,13985000000.0,17305000000.0
Effect Of Exchange Rate Changes,-112000000.0,-312000000.0,-178000000.0,89000000.0
Changes In Cash,7844000000.0,-48000000.0,680000000.0,-3409000000.0
Financing Cash Flow,-15825000000.0,-8871000000.0,-14047000000.0,-6120000000.0
Cash Flow From Continuing Financing Activities,-15825000000.0,-8871000000.0,-14047000000.0,-6120000000.0
Net Other Financing Charges,-1602000000.0,65000000.0,395000000.0,-627000000.0
Proceeds From Stock Option Exercised,1094000000.0,1329000000.0,1036000000.0,1114000000.0
Cash Dividends Paid,-11770000000.0,-11682000000.0,-11032000000.0,-10481000000.0
Common Stock Dividend Paid,-11770000000.0,-11682000000.0,-11032000000.0,-10481000000.0
Net Common Stock Issuance,-813000000.0,-6035000000.0,-3456000000.0,-3221000000.0
Common Stock Payments,-5054000000.0,-6035000000.0,-3456000000.0,-3221000000.0
Common Stock Issuance,4241000000.0,0.0,0.0,
Net Issuance Payments Of Debt,-2734000000.0,7452000000.0,-990000000.0,7095000000.0
Net Short Term Debt Issuance,-1183000000.0,9584000000.0,807000000.0,728000000.0
Short Term Debt Payments,-22973000000.0,-6550000000.0,-1190000000.0,-2663000000.0
Short Term Debt Issuance,21790000000.0,16134000000.0,1997000000.0,3391000000.0
Net Long Term Debt Issuance,-1551000000.0,-2132000000.0,-1797000000.0,6367000000.0
Long Term Debt Payments,-1551000000.0,-2134000000.0,-1802000000.0,-1064000000.0
Long Term Debt Issuance,0.0,2000000.0,5000000.0,7431000000.0
Investing Cash Flow,878000000.0,-12371000000.0,-8683000000.0,-20825000000.0
Cash Flow From Continuing Investing Activities,878000000.0,-12371000000.0,-8683000000.0,-20825000000.0
Net Other Investing Changes,-2593000000.0,65000000.0,417000000.0,-1203000000.0
Net Investment Purchase And Sale,8484000000.0,9225000000.0,-5388000000.0,-8952000000.0
Sale Of Investment,19390000000.0,41609000000.0,25006000000.0,12137000000.0
Purchase Of Investment,-10906000000.0,-32384000000.0,-30394000000.0,-21089000000.0
Net Business Purchase And Sale,0.0,-17652000000.0,-60000000.0,-7323000000.0
Purchase Of Business,0.0,-17652000000.0,-60000000.0,-7323000000.0
Net Intangibles Purchase And Sale,-470000000.0,0.0,0.0,
Purchase Of Intangibles,-470000000.0,0.0,0.0,
Net PPE Purchase And Sale,-4543000000.0,-4009000000.0,-3652000000.0,-3347000000.0
Purchase Of PPE,-4543000000.0,-4009000000.0,-3652000000.0,-3347000000.0
Operating Cash Flow,22791000000.0,21194000000.0,23410000000.0,23536000000.0
Cash Flow From Continuing Operating Activities,22791000000.0,21194000000.0,23410000000.0,23536000000.0
Change In Working Capital,2507000000.0,-4011000000.0,-4238000000.0,2690000000.0
Change In Other Current Liabilities,5588000000.0,-1979000000.0,-1061000000.0,744000000.0
Change In Other Current Assets,-3480000000.0,687000000.0,-1964000000.0,-3704000000.0
Change In Payables And Accrued Expense,2346000000.0,1098000000.0,2437000000.0,5141000000.0
Change In Inventory,-1323000000.0,-2527000000.0,-1248000000.0,-265000000.0
Change In Receivables,-624000000.0,-1290000000.0,-2402000000.0,774000000.0
Changes In Account Receivables,-624000000.0,-1290000000.0,-2402000000.0,774000000.0
Other Non Cash Items,483000000.0,,,-1148000000.0
Stock Based Compensation,1162000000.0,1138000000.0,1135000000.0,1005000000.0
Provisionand Write Offof Assets,0.0,-17000000.0,-48000000.0,63000000.0
Asset Impairment Charge,1295000000.0,1216000000.0,989000000.0,233000000.0
Deferred Tax,-4194000000.0,-1663000000.0,-2079000000.0,-1141000000.0
Deferred Income Tax,-4194000000.0,-1663000000.0,-2079000000.0,-1141000000.0
Depreciation Amortization Depletion,7486000000.0,6970000000.0,7390000000.0,7231000000.0
Depreciation And Amortization,7486000000.0,6970000000.0,7390000000.0,7231000000.0
Operating Gains Losses,-21101000000.0,-380000000.0,-617000000.0,-111000000.0
Gain Loss On Sale Of Business,-20984000000.0,0.0,0.0,
Net Income From Continuing Operations,35153000000.0,17941000000.0,20878000000.0,14714000000.0
