,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-1035230000.0,-547932000.0,-79848000.0,-26676000.0
Tax Rate For Calcs,0.115,0.154,0.072,0.108
Normalized EBITDA,32322000000.0,30163000000.0,27860000000.0,24176000000.0
Total Unusual Items,-9002000000.0,-3558000000.0,-1109000000.0,-247000000.0
Total Unusual Items Excluding Goodwill,-9002000000.0,-3558000000.0,-1109000000.0,-247000000.0
Net Income From Continuing Operation Net Minority Interest,13326000000.0,16370000000.0,17801000000.0,14714000000.0
Reconciled Depreciation,7486000000.0,6970000000.0,7390000000.0,7231000000.0
Reconciled Cost Of Revenue,26553000000.0,24596000000.0,23402000000.0,28427000000.0
EBITDA,23320000000.0,26605000000.0,26751000000.0,23929000000.0
EBIT,15834000000.0,19635000000.0,19361000000.0,16698000000.0
Net Interest Income,489000000.0,214000000.0,-130000000.0,-90000000.0
Interest Expense,772000000.0,276000000.0,183000000.0,201000000.0
Interest Income,1261000000.0,490000000.0,53000000.0,111000000.0
Normalized Income,21292770000.0,19380068000.0,18830152000.0,14934324000.0
Net Income From Continuing And Discontinued Operation,35153000000.0,17941000000.0,20878000000.0,14714000000.0
Total Expenses,63150000000.0,58977000000.0,57797000000.0,62851000000.0
Diluted Average Shares,2560400000.0,2663900000.0,2674000000.0,2670700000.0
Basic Average Shares,2407078000.0,2625200000.0,2632100000.0,2632512000.0
Diluted EPS,13.72,6.73,7.81,5.51
Basic EPS,14.604014,6.83,7.93,5.589273
Diluted NI Availto Com Stockholders,35153000000.0,17941000000.0,20878000000.0,14714000000.0
Net Income Common Stockholders,35153000000.0,17941000000.0,20878000000.0,14714000000.0
Net Income,35153000000.0,17941000000.0,20878000000.0,14714000000.0
Net Income Including Noncontrolling Interests,35153000000.0,17941000000.0,20878000000.0,14714000000.0
Net Income Discontinuous Operations,21827000000.0,1571000000.0,3077000000.0,
Net Income Continuous Operations,13326000000.0,16370000000.0,17801000000.0,14714000000.0
Tax Provision,1736000000.0,2989000000.0,1377000000.0,1783000000.0
Pretax Income,15062000000.0,19359000000.0,19178000000.0,16497000000.0
Other Income Expense,-7402000000.0,-1858000000.0,-1635000000.0,-3146000000.0
Other Non Operating Income Expenses,1600000000.0,1700000000.0,-526000000.0,-2899000000.0
Special Income Charges,-8402000000.0,-2858000000.0,-1109000000.0,-247000000.0
Other Special Charges,7613000000.0,2383000000.0,900000000.0,181000000.0
Restructuring And Mergern Acquisition,789000000.0,475000000.0,209000000.0,247000000.0
Gain On Sale Of Security,-600000000.0,-700000000.0,,
Net Non Operating Interest Income Expense,489000000.0,214000000.0,-130000000.0,-90000000.0
Interest Expense Non Operating,772000000.0,276000000.0,183000000.0,201000000.0
Interest Income Non Operating,1261000000.0,490000000.0,53000000.0,111000000.0
Operating Income,22009000000.0,21013000000.0,20943000000.0,19733000000.0
Operating Expense,36597000000.0,34381000000.0,34395000000.0,34424000000.0
Research And Development,15085000000.0,14135000000.0,14277000000.0,12340000000.0
Selling General And Administration,21512000000.0,20246000000.0,20118000000.0,22084000000.0
Gross Profit,58606000000.0,55394000000.0,55338000000.0,54157000000.0
Cost Of Revenue,26553000000.0,24596000000.0,23402000000.0,28427000000.0
Total Revenue,85159000000.0,79990000000.0,78740000000.0,82584000000.0
Operating Revenue,85159000000.0,79990000000.0,78740000000.0,82584000000.0
