,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-3152000000.0,4600400000.0,5387500000.0,4470500000.0
Repurchase Of Capital Stock,-750000000.0,-1500000000.0,-1250000000.0,-500000000.0
Repayment Of Debt,0.0,-1560000000.0,-1905400000.0,-276500000.0
Issuance Of Debt,3958500000.0,0.0,2410800000.0,2062300000.0
Capital Expenditure,-7392100000.0,-2985300000.0,-1978400000.0,-2029100000.0
End Cash Position,2818600000.0,2067000000.0,3818500000.0,3657100000.0
Beginning Cash Position,2067000000.0,3818500000.0,3657100000.0,2337500000.0
Effect Of Exchange Rate Changes,168600000.0,-167600000.0,-205700000.0,216000000.0
Changes In Cash,583000000.0,-1583900000.0,367100000.0,1103600000.0
Financing Cash Flow,3495600000.0,-5406700000.0,-4131300000.0,-3137100000.0
Cash Flow From Continuing Financing Activities,3495600000.0,-5406700000.0,-4131300000.0,-3137100000.0
Net Other Financing Charges,-335000000.0,-308900000.0,-295900000.0,-241600000.0
Cash Dividends Paid,-4069300000.0,-3535800000.0,-3086800000.0,-2687100000.0
Common Stock Dividend Paid,-4069300000.0,-3535800000.0,-3086800000.0,-2687100000.0
Net Common Stock Issuance,-750000000.0,-1500000000.0,-1250000000.0,-500000000.0
Common Stock Payments,-750000000.0,-1500000000.0,-1250000000.0,-500000000.0
Net Issuance Payments Of Debt,8649900000.0,-62000000.0,501400000.0,291600000.0
Net Short Term Debt Issuance,4691400000.0,1498000000.0,-4000000.0,-1494200000.0
Net Long Term Debt Issuance,3958500000.0,-1560000000.0,505400000.0,1785800000.0
Long Term Debt Payments,0.0,-1560000000.0,-1905400000.0,-276500000.0
Long Term Debt Issuance,3958500000.0,0.0,2410800000.0,2062300000.0
Investing Cash Flow,-7152700000.0,-3762900000.0,-2867500000.0,-2258900000.0
Cash Flow From Continuing Investing Activities,-7152700000.0,-3762900000.0,-2867500000.0,-2258900000.0
Net Other Investing Changes,-191900000.0,-302200000.0,-191700000.0,102800000.0
Net Investment Purchase And Sale,-128700000.0,-244000000.0,-166000000.0,516700000.0
Sale Of Investment,700300000.0,463600000.0,847400000.0,886800000.0
Purchase Of Investment,-829000000.0,-707600000.0,-1013400000.0,-370100000.0
Net Business Purchase And Sale,-1044300000.0,-327200000.0,-747400000.0,-849300000.0
Sale Of Business,,,0.0,0.0
Purchase Of Business,-1044300000.0,-327200000.0,-747400000.0,-849300000.0
Net Intangibles Purchase And Sale,-2340200000.0,-1035200000.0,-452600000.0,-641200000.0
Sale Of Intangibles,1604300000.0,95800000.0,216000000.0,
Purchase Of Intangibles,-3944500000.0,-1131000000.0,-668600000.0,-641200000.0
Net PPE Purchase And Sale,-3447600000.0,-1854300000.0,-1309800000.0,-1387900000.0
Purchase Of PPE,-3447600000.0,-1854300000.0,-1309800000.0,-1387900000.0
Operating Cash Flow,4240100000.0,7585700000.0,7365900000.0,6499600000.0
Cash Flow From Continuing Operating Activities,4240100000.0,7585700000.0,7365900000.0,6499600000.0
Change In Working Capital,-3055000000.0,-800000.0,-1012600000.0,-747400000.0
Change In Other Current Assets,-3453400000.0,-793500000.0,1515400000.0,-457100000.0
Change In Payables And Accrued Expense,4274400000.0,1692000000.0,-1013800000.0,1593300000.0
Change In Payable,4274400000.0,1692000000.0,-1013800000.0,1593300000.0
Change In Account Payable,4274400000.0,1692000000.0,-1013800000.0,1271300000.0
Change In Tax Payable,,346600000.0,-359700000.0,322000000.0
Change In Income Tax Payable,,346600000.0,-359700000.0,322000000.0
Change In Inventory,-1425000000.0,-599700000.0,-235900000.0,-533400000.0
Change In Receivables,-2451000000.0,-299600000.0,-1278300000.0,-1350200000.0
Other Non Cash Items,4095300000.0,1369800000.0,1697500000.0,994300000.0
Stock Based Compensation,628500000.0,371100000.0,342800000.0,308100000.0
Deferred Tax,-2341000000.0,-2185200000.0,-802300000.0,-134500000.0
Deferred Income Tax,-2341000000.0,-2185200000.0,-802300000.0,-134500000.0
Depreciation Amortization Depletion,1527300000.0,1522500000.0,1547600000.0,1323900000.0
Depreciation And Amortization,1527300000.0,1522500000.0,1547600000.0,1323900000.0
Operating Gains Losses,-1855400000.0,263500000.0,11200000.0,-1438500000.0
Gain Loss On Sale Of PPE,-1878900000.0,-156500000.0,-216000000.0,
Gain Loss On Sale Of Business,,,0.0,0.0
Net Income From Continuing Operations,5240400000.0,6244800000.0,5581700000.0,6193700000.0
