,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,9143000000.0,14707000000.0,9661000000.0,5824000000.0
Repurchase Of Capital Stock,-1346000000.0,0.0,-840000000.0,-1281000000.0
Repayment Of Debt,-1755000000.0,-2251000000.0,-2319000000.0,-1957000000.0
Issuance Of Debt,5939000000.0,0.0,7936000000.0,4419000000.0
Capital Expenditure,-3863000000.0,-4388000000.0,-4448000000.0,-4429000000.0
End Cash Position,6909000000.0,12773000000.0,8167000000.0,8153000000.0
Other Cash Adjustment Outside Changein Cash,,0.0,0.0,-12000000.0
Beginning Cash Position,12773000000.0,8167000000.0,8153000000.0,9934000000.0
Effect Of Exchange Rate Changes,23000000.0,-410000000.0,-133000000.0,253000000.0
Changes In Cash,-5887000000.0,5016000000.0,147000000.0,-2022000000.0
Financing Cash Flow,-4810000000.0,-9119000000.0,2593000000.0,-2832000000.0
Cash From Discontinued Financing Activities,0.0,0.0,-504000000.0,0.0
Cash Flow From Continuing Financing Activities,-4810000000.0,-9119000000.0,3097000000.0,-2832000000.0
Net Other Financing Charges,-328000000.0,-240000000.0,8714000000.0,-436000000.0
Proceeds From Stock Option Exercised,125000000.0,384000000.0,202000000.0,89000000.0
Cash Dividends Paid,-7445000000.0,-7012000000.0,-6610000000.0,-6215000000.0
Common Stock Dividend Paid,-7445000000.0,-7012000000.0,-6610000000.0,-6215000000.0
Net Common Stock Issuance,-1346000000.0,0.0,-840000000.0,-1281000000.0
Common Stock Payments,-1346000000.0,0.0,-840000000.0,-1281000000.0
Net Issuance Payments Of Debt,4184000000.0,-2251000000.0,1631000000.0,5011000000.0
Net Short Term Debt Issuance,0.0,0.0,-3986000000.0,2549000000.0
Net Long Term Debt Issuance,4184000000.0,-2251000000.0,5617000000.0,2462000000.0
Long Term Debt Payments,-1755000000.0,-2251000000.0,-2319000000.0,-1957000000.0
Long Term Debt Issuance,5939000000.0,0.0,7936000000.0,4419000000.0
Investing Cash Flow,-14083000000.0,-4960000000.0,-16555000000.0,-9443000000.0
Cash From Discontinued Investing Activities,0.0,0.0,-134000000.0,-250000000.0
Cash Flow From Continuing Investing Activities,-14083000000.0,-4960000000.0,-16421000000.0,-9193000000.0
Net Other Investing Changes,-36000000.0,32000000.0,-91000000.0,125000000.0
Net Investment Purchase And Sale,1848000000.0,-483000000.0,1025000000.0,1717000000.0
Sale Of Investment,2803000000.0,721000000.0,1026000000.0,2812000000.0
Purchase Of Investment,-955000000.0,-1204000000.0,-1000000.0,-1095000000.0
Net Business Purchase And Sale,-12032000000.0,-121000000.0,-12907000000.0,-6606000000.0
Purchase Of Business,-12032000000.0,-121000000.0,-12907000000.0,-6606000000.0
Capital Expenditure Reported,-3863000000.0,-4388000000.0,-4448000000.0,-4429000000.0
Operating Cash Flow,13006000000.0,19095000000.0,14109000000.0,10253000000.0
Cash From Discontinued Operating Activities,0.0,0.0,987000000.0,2636000000.0
Cash Flow From Continuing Operating Activities,13006000000.0,19095000000.0,13122000000.0,7617000000.0
Change In Working Capital,-2205000000.0,-2782000000.0,-3839000000.0,-4601000000.0
Change In Other Working Capital,-2314000000.0,-1473000000.0,-1758000000.0,-2433000000.0
Change In Other Current Liabilities,456000000.0,-545000000.0,484000000.0,-617000000.0
Change In Payables And Accrued Expense,1617000000.0,41000000.0,142000000.0,346000000.0
Change In Accrued Expense,1783000000.0,-50000000.0,277000000.0,-1152000000.0
Change In Payable,-166000000.0,91000000.0,-135000000.0,1498000000.0
Change In Account Payable,-380000000.0,-289000000.0,405000000.0,684000000.0
Change In Tax Payable,214000000.0,380000000.0,-540000000.0,814000000.0
Change In Income Tax Payable,214000000.0,380000000.0,-540000000.0,814000000.0
Change In Inventory,-816000000.0,-161000000.0,-674000000.0,-895000000.0
Change In Receivables,-1148000000.0,-644000000.0,-2033000000.0,-1002000000.0
Changes In Account Receivables,-1148000000.0,-644000000.0,-2033000000.0,-1002000000.0
Other Non Cash Items,11764000000.0,1301000000.0,2361000000.0,3954000000.0
Stock Based Compensation,645000000.0,541000000.0,479000000.0,441000000.0
Asset Impairment Charge,792000000.0,1749000000.0,302000000.0,1718000000.0
Deferred Tax,-1899000000.0,-1568000000.0,187000000.0,-566000000.0
Deferred Income Tax,-1899000000.0,-1568000000.0,187000000.0,-566000000.0
Depreciation Amortization Depletion,3872000000.0,3909000000.0,3214000000.0,3486000000.0
Depreciation And Amortization,3872000000.0,3909000000.0,3214000000.0,3486000000.0
Amortization Cash Flow,2044000000.0,2085000000.0,1636000000.0,1817000000.0
Amortization Of Intangibles,2044000000.0,2085000000.0,1636000000.0,1817000000.0
Depreciation,1828000000.0,1824000000.0,1578000000.0,1669000000.0
Operating Gains Losses,-340000000.0,1419000000.0,-1940000000.0,-1338000000.0
Earnings Losses From Equity Investments,-340000000.0,1419000000.0,-1940000000.0,
Gain Loss On Investment Securities,,1419000000.0,-1940000000.0,-1338000000.0
Net Income From Continuing Operations,377000000.0,14526000000.0,12358000000.0,4523000000.0
