,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-132090000.0,-233181000.0,107617407.594207,141522000.0
Tax Rate For Calcs,0.21,0.117,0.10959,0.229
Normalized EBITDA,7536000000.0,23308000000.0,16917000000.0,9562000000.0
Total Unusual Items,-629000000.0,-1993000000.0,982000000.0,618000000.0
Total Unusual Items Excluding Goodwill,-629000000.0,-1993000000.0,982000000.0,618000000.0
Net Income From Continuing Operation Net Minority Interest,365000000.0,14519000000.0,12345000000.0,7067000000.0
Reconciled Depreciation,3872000000.0,3909000000.0,3214000000.0,3486000000.0
Reconciled Cost Of Revenue,16126000000.0,17411000000.0,13626000000.0,13618000000.0
EBITDA,6907000000.0,21315000000.0,17899000000.0,10180000000.0
EBIT,3035000000.0,17406000000.0,14685000000.0,6694000000.0
Net Interest Income,-781000000.0,-805000000.0,-770000000.0,-772000000.0
Interest Expense,1146000000.0,962000000.0,806000000.0,831000000.0
Interest Income,365000000.0,157000000.0,36000000.0,59000000.0
Normalized Income,861910000.0,16278819000.0,11470617407.594208,6590522000.0
Net Income From Continuing And Discontinued Operation,365000000.0,14519000000.0,13049000000.0,7067000000.0
Total Expenses,57161000000.0,41001000000.0,35505000000.0,35970000000.0
Diluted Average Shares,2547000000.0,2542000000.0,2538000000.0,2541000000.0
Basic Average Shares,2537000000.0,2532000000.0,2530000000.0,2530225827.0
Diluted EPS,0.14,5.71,5.14,2.78
Basic EPS,0.14,5.73,5.16,2.793031
Diluted NI Availto Com Stockholders,365000000.0,14519000000.0,13049000000.0,7067000000.0
Net Income Common Stockholders,365000000.0,14519000000.0,13049000000.0,7067000000.0
Net Income,365000000.0,14519000000.0,13049000000.0,7067000000.0
Minority Interests,-12000000.0,-7000000.0,-13000000.0,2544000000.0
Net Income Including Noncontrolling Interests,377000000.0,14526000000.0,13062000000.0,4523000000.0
Net Income Discontinuous Operations,0.0,0.0,704000000.0,
Net Income Continuous Operations,377000000.0,14526000000.0,12358000000.0,4523000000.0
Tax Provision,1512000000.0,1918000000.0,1521000000.0,1340000000.0
Pretax Income,1889000000.0,16444000000.0,13879000000.0,5863000000.0
Other Income Expense,-284000000.0,-1033000000.0,1450000000.0,1087000000.0
Other Non Operating Income Expenses,345000000.0,960000000.0,468000000.0,469000000.0
Special Income Charges,-599000000.0,-337000000.0,-661000000.0,-575000000.0
Restructuring And Mergern Acquisition,599000000.0,337000000.0,661000000.0,575000000.0
Gain On Sale Of Security,-30000000.0,-1656000000.0,1643000000.0,1193000000.0
Net Non Operating Interest Income Expense,-781000000.0,-805000000.0,-770000000.0,-772000000.0
Interest Expense Non Operating,1146000000.0,962000000.0,806000000.0,831000000.0
Interest Income Non Operating,365000000.0,157000000.0,36000000.0,59000000.0
Operating Income,2954000000.0,18282000000.0,13199000000.0,5548000000.0
Operating Expense,41035000000.0,23590000000.0,21879000000.0,22352000000.0
Research And Development,30531000000.0,13548000000.0,12245000000.0,13397000000.0
Selling General And Administration,10504000000.0,10042000000.0,9634000000.0,8955000000.0
Gross Profit,43989000000.0,41872000000.0,35078000000.0,27900000000.0
Cost Of Revenue,16126000000.0,17411000000.0,13626000000.0,13618000000.0
Total Revenue,60115000000.0,59283000000.0,48704000000.0,41518000000.0
Operating Revenue,60115000000.0,59283000000.0,48704000000.0,41518000000.0
